passenger_count,trip_distance,fare_amount,tip_amount,total_amount
1,2.88,14.0,3.16,18.96
2,0.55,4.0,1.16,6.96
1,1.8,10.0,2.7,13.5
1,4.54,17.5,3.66,21.96
1,2.6,13.0,2.0,15.8
2,1.0,6.0,0.0,6.8
1,1.12,7.5,1.86,11.16
1,0.91,6.5,0.0,8.3
1,3.2,11.5,1.7,14.0
1,2.04,11.5,2.0,14.3
5,1.29,8.0,1.5,10.3
5,4.46,17.0,2.0,19.8
1,0.73,6.0,1.56,9.36
1,0.87,5.5,1.0,7.3
1,8.11,29.5,0.0,35.84
1,2.87,18.0,0.0,18.8
4,1.72,8.5,0.0,9.3
1,2.43,17.5,0.0,18.3
1,1.68,11.5,0.0,12.3
2,2.47,11.5,1.0,14.3
2,0.89,6.5,0.0,7.3
5,11.56,42.5,5.0,53.84
1,2.3,11.5,2.45,14.75
1,1.3,6.0,2.0,8.8
5,1.49,9.0,1.0,10.8
1,2.05,10.0,2.26,13.56
3,1.9,10.5,1.75,13.05
1,0.93,10.0,1.0,11.8
1,1.4,9.0,0.0,10.8
1,7.15,24.0,4.96,29.76
1,1.1,7.5,1.0,10.3
6,1.59,9.0,1.96,11.76
5,4.98,16.0,3.46,20.76
1,0.67,7.0,0.8,8.6
2,1.42,8.0,0.0,8.8
1,1.52,10.5,0.0,11.3
1,9.09,33.5,9.96,49.8
6,3.52,18.0,4.0,22.8
6,0.98,5.0,0.0,6.3
1,1.87,11.0,2.36,14.16
1,3.2,13.5,0.0,14.3
4,1.03,5.5,1.26,7.56
1,1.0,8.5,1.85,11.15
1,5.73,20.0,0.0,21.3
1,1.9,9.5,1.0,11.3
2,1.6,13.5,0.0,14.3
1,1.45,8.0,1.76,10.56
1,2.7,14.5,1.0,16.3
1,1.44,10.0,2.16,12.96
1,2.2,9.5,1.0,11.3
4,0.68,4.5,0.7,6.0
1,0.59,7.0,1.5,9.3
1,1.9,10.0,0.0,10.8
1,2.1,9.0,1.96,11.76
1,0.82,6.0,1.36,8.16
1,1.58,9.5,2.06,12.36
1,2.1,10.5,0.0,12.3
2,17.0,52.0,12.55,75.39
1,1.04,7.0,1.58,10.38
6,12.98,41.5,8.46,50.76
1,0.9,8.0,2.6,11.4
1,1.59,12.5,0.0,13.3
2,2.8,12.5,0.0,13.8
1,1.7,9.5,2.0,13.3
1,0.7,5.5,0.0,6.3
1,0.9,7.0,1.2,10.0
1,7.3,22.5,0.0,23.8
2,3.6,14.5,3.15,18.95
1,1.94,18.0,0.0,18.8
1,0.84,6.5,0.0,7.3
2,0.61,8.5,0.0,9.3
6,3.18,14.0,3.16,18.96
1,9.65,40.0,9.27,55.61
1,3.7,19.5,4.25,25.55
1,2.4,14.5,0.0,20.84
1,1.06,7.0,0.0,8.8
1,1.37,9.5,0.0,10.3
1,0.3,4.0,0.0,4.8
6,3.76,17.0,3.56,21.36
1,8.88,29.0,7.27,43.61
3,3.7,15.5,0.0,16.3
2,3.21,14.5,0.0,15.8
5,1.1,5.5,0.0,6.3
1,1.7,9.5,2.0,12.3
1,0.79,7.0,0.0,7.8
1,1.12,6.5,0.0,7.8
2,2.6,13.5,0.0,15.3
1,2.42,16.0,3.36,20.16
1,2.1,10.0,2.95,14.75
1,0.6,4.0,0.8,6.1
1,0.79,6.5,0.0,7.8
1,4.4,22.0,0.0,23.8
2,1.26,7.5,0.0,9.3
1,6.25,24.0,0.0,25.8
2,1.1,6.5,1.45,8.75
5,1.75,8.5,1.0,10.3
1,2.4,14.0,0.0,14.8
1,1.9,13.0,1.0,14.8
1,5.4,20.0,6.24,27.04
5,1.11,7.0,1.0,8.8
5,1.16,7.0,1.95,9.75
1,9.7,31.0,0.0,32.8
1,1.1,6.0,1.35,8.15
5,3.96,13.5,2.7,17.0
1,0.58,4.5,1.58,7.88
1,1.9,12.0,2.55,15.35
1,0.9,6.0,0.0,6.8
1,1.1,7.0,1.25,10.05
1,0.66,8.0,1.76,10.56
1,2.03,10.0,2.26,13.56
1,1.56,7.0,0.0,8.3
1,1.81,8.0,2.2,11.0
1,1.72,8.5,1.11,10.91
6,0.75,5.0,0.0,5.8
2,9.02,29.0,0.0,35.34
1,1.5,11.0,2.55,15.35
1,1.2,7.0,1.0,8.8
1,1.8,10.0,0.0,10.8
1,0.6,4.5,0.0,5.3
1,1.1,7.0,1.55,9.35
1,1.19,6.5,1.0,8.3
1,3.4,12.5,2.86,17.16
1,1.0,5.5,1.25,7.55
1,2.4,10.5,2.45,14.75
1,2.81,11.5,2.0,14.3
1,0.73,5.0,1.7,8.5
1,3.0,13.5,0.0,14.3
6,1.32,7.0,0.0,7.8
1,1.5,11.0,2.95,14.75
1,2.7,16.0,3.55,21.35
1,1.01,7.5,1.66,9.96
1,4.52,18.0,3.96,23.76
1,1.1,7.0,1.0,9.8
1,1.2,10.0,2.16,12.96
1,1.29,5.5,1.36,8.16
1,1.3,9.0,1.0,10.8
5,0.97,7.0,0.0,7.8
1,0.5,4.0,0.7,5.5
